City,Country,Latitude,Longitude,Distance
Tokyo,Japan,35.6897,139.6922,0
Jakarta,Indonesia,-6.2146,106.8451,0
Delhi,India,28.66,77.23,0
Mumbai,India,18.9667,72.8333,0
Manila,Philippines,14.5958,120.9772,0
Shanghai,China,31.1667,121.4667,0
Sao Paulo,Brazil,-23.5504,-46.6339,0
Seoul,"Korea, South",37.5833,127,0
Mexico City,Mexico,19.4333,-99.1333,0
Guangzhou,China,23.1288,113.259,0
Beijing,China,39.905,116.3914,0
Cairo,Egypt,30.0561,31.2394,0
New York,United States,40.6943,-73.9249,0
Kolkata,India,22.5411,88.3378,0
Moscow,Russia,55.7558,37.6178,0
Bangkok,Thailand,13.75,100.5167,0
Buenos Aires,Argentina,-34.5997,-58.3819,0
Shenzhen,China,22.535,114.054,0
Dhaka,Bangladesh,23.7161,90.3961,0
Lagos,Nigeria,6.45,3.4,0
Istanbul,Turkey,41.01,28.9603,0
Osaka,Japan,34.6936,135.5019,0
Karachi,Pakistan,24.86,67.01,0
Bangalore,India,12.9699,77.598,0
Tehran,Iran,35.7,51.4167,0
Kinshasa,Congo (Kinshasa),-4.3317,15.3139,0
Ho Chi Minh City,Vietnam,10.8167,106.6333,0
Los Angeles,United States,34.1139,-118.4068,0
Rio de Janeiro,Brazil,-22.9083,-43.1964,0
Nanyang,China,32.9987,112.5292,0
Chennai,India,13.0825,80.275,0
Chengdu,China,30.6636,104.0667,0
Lahore,Pakistan,31.5497,74.3436,0
Paris,France,48.8566,2.3522,0
London,United Kingdom,51.5072,-0.1275,0
Linyi,China,35.0606,118.3425,0
Tianjin,China,39.1467,117.2056,0
Shijiazhuang,China,38.0422,114.5086,0
Baoding,China,38.8671,115.4845,0
Zhoukou,China,33.625,114.6418,0
Lima,Peru,-12.05,-77.0333,0
Hyderabad,India,17.3667,78.4667,0
Bogota,Colombia,4.6126,-74.0705,0
Weifang,China,36.7167,119.1,0
Nagoya,Japan,35.1167,136.9333,0
Wuhan,China,30.5872,114.2881,0
Heze,China,35.2333,115.4333,0
Ganzhou,China,25.8292,114.9336,0
Tongshan,China,34.261,117.1859,0
Chicago,United States,41.8373,-87.6862,0
Handan,China,36.6116,114.4894,0
Luanda,Angola,-8.8383,13.2344,0
Fuyang,China,32.8986,115.8045,0
Kuala Lumpur,Malaysia,3.1478,101.6953,0
Jining,China,35.4,116.5667,0
Dongguan,China,23.0475,113.7493,0
Hanoi,Vietnam,21.0245,105.8412,0
Pune,India,18.5196,73.8553,0
Chongqing,China,29.55,106.5069,0
Changchun,China,43.9,125.2,0
Zhumadian,China,32.9773,114.0253,0
Ningbo,China,29.875,121.5492,0
Onitsha,Nigeria,6.1667,6.7833,0
Nanjing,China,32.05,118.7667,0
Hefei,China,31.8639,117.2808,0
Ahmadabad,India,23.03,72.58,0
Hong Kong,Hong Kong,22.305,114.185,0
Khartoum,Sudan,15.6031,32.5265,0
Nantong,China,31.9829,120.8873,0
Yancheng,China,33.3936,120.1339,0
Foshan,China,23.0292,113.1056,0
Nanning,China,22.8192,108.315,0
Hengyang,China,26.8968,112.5857,0
Xi'an,China,34.2667,108.9,0
Shenyang,China,41.8039,123.4258,0
Tangshan,China,39.6292,118.1742,0
Shaoyang,China,27.2418,111.4725,0
Changsha,China,28.1987,112.9709,0
Santiago,Chile,-33.45,-70.6667,0
Zhengzhou,China,34.7492,113.6605,0
Zhanjiang,China,21.1967,110.4031,0
Riyadh,Saudi Arabia,24.65,46.71,0
