City,Country,Latitude,Longitude,Distance
Tokyo,Japan,35.6897,139.6922,5773.988204190799
Jakarta,Indonesia,-6.2146,106.8451,5196.405060650157
Delhi,India,28.66,77.23,226.79069085384205
Mumbai,India,18.9667,72.8333,1363.8416616730974
Manila,Philippines,14.5958,120.9772,4829.533927515091
Shanghai,China,31.1667,121.4667,4225.030147147626
Sao Paulo,Brazil,-23.5504,-46.6339,14424.585241865116
Seoul,"Korea, South",37.5833,127,4623.11301472857
Mexico City,Mexico,19.4333,-99.1333,14427.207349890508
Guangzhou,China,23.1288,113.259,3687.794185955096
Beijing,China,39.905,116.3914,3698.1315696159454
Cairo,Egypt,30.0561,31.2394,4347.401217440137
New York,United States,40.6943,-73.9249,11529.344974724982
Kolkata,India,22.5411,88.3378,1453.7885190129143
Moscow,Russia,55.7558,37.6178,4136.687166076802
Bangkok,Thailand,13.75,100.5167,3064.4856681318156
Buenos Aires,Argentina,-34.5997,-58.3819,15836.567881484403
Shenzhen,China,22.535,114.054,3787.799990679878
Dhaka,Bangladesh,23.7161,90.3961,1543.7104084408622
Lagos,Nigeria,6.45,3.4,8063.3221616206465
Istanbul,Turkey,41.01,28.9603,4410.4724201883455
Osaka,Japan,34.6936,135.5019,5428.242233952268
Karachi,Pakistan,24.86,67.01,1164.9888374837644
Bangalore,India,12.9699,77.598,1970.2129081998596
Tehran,Iran,35.7,51.4167,2426.1437787227596
Kinshasa,Congo (Kinshasa),-4.3317,15.3139,7593.331012048935
Ho Chi Minh City,Vietnam,10.8167,106.6333,3780.1548991007967
Los Angeles,United States,34.1139,-118.4068,12635.086502769835
Rio de Janeiro,Brazil,-22.9083,-43.1964,14071.76907877294
Nanyang,China,32.9987,112.5292,3362.621814920904
Chennai,India,13.0825,80.275,1987.2240510866282
Chengdu,China,30.6636,104.0667,2594.8080293887824
Lahore,Pakistan,31.5497,74.3436,259.34827802748305
Paris,France,48.8566,2.3522,6409.2697369329
London,United Kingdom,51.5072,-0.1275,6525.513553395162
Linyi,China,35.0606,118.3425,3876.3219028664503
Tianjin,China,39.1467,117.2056,3763.8784819948014
Shijiazhuang,China,38.0422,114.5086,3525.4871425338174
Baoding,China,38.8671,115.4845,3614.059689592679
Zhoukou,China,33.625,114.6418,3551.6567592654656
Lima,Peru,-12.05,-77.0333,16627.054207548274
Hyderabad,India,17.3667,78.4667,1488.6850888067263
Bogota,Colombia,4.6126,-74.0705,15022.713248917886
Weifang,China,36.7167,119.1,3932.3043319197504
Nagoya,Japan,35.1167,136.9333,5545.166085816959
Wuhan,China,30.5872,114.2881,3563.272746560599
Heze,China,35.2333,115.4333,3611.122623135873
Ganzhou,China,25.8292,114.9336,3749.371611349773
Tongshan,China,34.261,117.1859,3778.801699713156
Chicago,United States,41.8373,-87.6862,11798.31031801952
Handan,China,36.6116,114.4894,3521.5666013276245
Luanda,Angola,-8.8383,13.2344,8073.004135455044
Fuyang,China,32.8986,115.8045,3667.6801850764673
Kuala Lumpur,Malaysia,3.1478,101.6953,4020.3103657340625
Jining,China,35.4,116.5667,3712.7534144479864
Dongguan,China,23.0475,113.7493,3737.8289505931284
Hanoi,Vietnam,21.0245,105.8412,3080.3420787142873
Pune,India,18.5196,73.8553,1385.398007568738
Chongqing,China,29.55,106.5069,2845.3602094080507
Changchun,China,43.9,125.2,4450.650770620502
Zhumadian,China,32.9773,114.0253,3501.7075810554425
Ningbo,China,29.875,121.5492,4262.670196072688
Onitsha,Nigeria,6.1667,6.7833,7756.41141828555
Nanjing,China,32.05,118.7667,3956.0002898748
Hefei,China,31.8639,117.2808,3820.8103686814115
Ahmadabad,India,23.03,72.58,950.4241066460625
Hong Kong,Hong Kong,22.305,114.185,3809.8709698771872
Khartoum,Sudan,15.6031,32.5265,4797.341851304362
Nantong,China,31.9829,120.8873,4154.393018821825
Yancheng,China,33.3936,120.1339,4060.4193587670056
Foshan,China,23.0292,113.1056,3677.1718925543923
Nanning,China,22.8192,108.315,3230.4245329808314
Hengyang,China,26.8968,112.5857,3491.4908018625365
Xi'an,China,34.2667,108.9,3018.820199228569
Shenyang,China,41.8039,123.4258,4298.20831621987
Tangshan,China,39.6292,118.1742,3848.859194440036
Shaoyang,China,27.2418,111.4725,3375.068416312957
Changsha,China,28.1987,112.9709,3492.092119004355
Santiago,Chile,-33.45,-70.6667,16953.08810661492
Zhengzhou,China,34.7492,113.6605,3452.6726642367335
Zhanjiang,China,21.1967,110.4031,3499.7785831430615
Riyadh,Saudi Arabia,24.65,46.71,3035.097878534299
Cangzhou,China,38.3037,116.8452,3730.392477726833
Dar es Salaam,Tanzania,-6.8,39.2833,5776.654006993909
Maoming,China,21.6618,110.9178,3527.3179507447426
Huanggang,China,30.45,114.875,3621.2999343998986
Xinyang,China,32.1264,114.0672,3516.6899436028757
Shangrao,China,28.4419,117.9633,3960.5924260218667
Luoyang,China,34.6587,112.4245,3340.2883815735013
Bijie,China,27.3019,105.2863,2781.8780840528666
Yantai,China,37.3997,121.2664,4120.434265595662
Quanzhou,China,24.9139,118.5858,4129.822354952538
Hangzhou,China,30.25,120.1675,4123.842022921149
Miami,United States,25.7839,-80.2102,13280.47768694548
Kunming,China,25.0433,102.7061,2609.604061348601
