City,Country,Latitude,Longitude,Distance,City Code
Tokyo,Japan,35.6897,139.6922,14263.20548,1
Jakarta,Indonesia,-6.2146,106.8451,11869.55545,2
Delhi,India,28.66,77.23,8764.152623,3
Mumbai,India,18.9667,72.8333,8205.452114,4
Manila,Philippines,14.5958,120.9772,13329.60961,5
Shanghai,China,31.1667,121.4667,12957.7764,6
Sao Paulo,Brazil,-23.5504,-46.6339,5669.876902,7
Seoul,"Korea, South",37.5833,127,13175.14276,8
Mexico City,Mexico,19.4333,-99.1333,10965.04484,9
Guangzhou,China,23.1288,113.259,12375.56042,10
Beijing,China,39.905,116.3914,12224.65815,11
Cairo,Egypt,30.0561,31.2394,4699.77842,12
New York,United States,40.6943,-73.9249,8660.156001,13
Kolkata,India,22.5411,88.3378,9837.05023,14
Moscow,Russia,55.7558,37.6178,7064.348757,15
Bangkok,Thailand,13.75,100.5167,11143.30907,16
Buenos Aires,Argentina,-34.5997,-58.3819,7164.998465,17
Shenzhen,China,22.535,114.054,12466.94767,18
Dhaka,Bangladesh,23.7161,90.3961,10048.08416,19
Lagos,Nigeria,6.45,3.4,810.3959096,20
Istanbul,Turkey,41.01,28.9603,5413.313,21
Osaka,Japan,34.6936,135.5019,14000.42433,22
Karachi,Pakistan,24.86,67.01,7699.812779,23
Bangalore,India,12.9699,77.598,8664.410263,24
Tehran,Iran,35.7,51.4167,6624.230874,25
Kinshasa,Congo (Kinshasa),-4.3317,15.3139,1768.107421,26
Ho Chi Minh City,Vietnam,10.8167,106.6333,11823.54594,27
Los Angeles,United States,34.1139,-118.4068,12587.01901,28
Rio de Janeiro,Brazil,-22.9083,-43.1964,5317.010186,29
Nanyang,China,32.9987,112.5292,12092.0721,30
Chennai,India,13.0825,80.275,8954.694077,31
Chengdu,China,30.6636,104.0667,11349.65238,32
Lahore,Pakistan,31.5497,74.3436,8529.305732,33
Paris,France,48.8566,2.3522,5437.411517,34
London,United Kingdom,51.5072,-0.1275,5727.475029,35
Linyi,China,35.0606,118.3425,12550.53304,36
Tianjin,China,39.1467,117.2056,12316.94594,37
Shijiazhuang,China,38.0422,114.5086,12128.15046,38
Baoding,China,38.8671,115.4845,12184.22212,39
Zhoukou,China,33.625,114.6418,12266.72964,40
Lima,Peru,-12.05,-77.0333,8598.201651,41
Hyderabad,India,17.3667,78.4667,8784.496728,42
Bogota,Colombia,4.6126,-74.0705,8242.329592,43
Weifang,China,36.7167,119.1,12559.1797,44
Nagoya,Japan,35.1167,136.9333,14088.37633,45
Wuhan,China,30.5872,114.2881,12313.74374,46
Heze,China,35.2333,115.4333,12291.24774,47
Ganzhou,China,25.8292,114.9336,12487.42821,48
Tongshan,China,34.261,117.1859,12474.69705,49
Chicago,United States,41.8373,-87.6862,9816.091175,50
Handan,China,36.6116,114.4894,12168.88203,51
Luanda,Angola,-8.8383,13.2344,1764.742038,52
Fuyang,China,32.8986,115.8045,12391.60409,53
Kuala Lumpur,Malaysia,3.1478,101.6953,11306.25477,54
Jining,China,35.4,116.5667,12385.19454,55
Dongguan,China,23.0475,113.7493,12426.51953,56
Hanoi,Vietnam,21.0245,105.8412,11649.22086,57
Pune,India,18.5196,73.8553,8307.816481,58
Chongqing,China,29.55,106.5069,11599.0221,59
Changchun,China,43.9,125.2,12736.68458,60
Zhumadian,China,32.9773,114.0253,12228.47806,61
Ningbo,China,29.875,121.5492,13008.01352,62
Onitsha,Nigeria,6.1667,6.7833,1018.311084,63
Nanjing,China,32.05,118.7667,12684.57916,64
Hefei,China,31.8639,117.2808,12555.2578,65
Ahmadabad,India,23.03,72.58,8229.420335,66
Hong Kong,Hong Kong,22.305,114.185,12484.52626,67
Khartoum,Sudan,15.6031,32.5265,3969.877072,68
Nantong,China,31.9829,120.8873,12878.03962,69
Yancheng,China,33.3936,120.1339,12763.28512,70
Foshan,China,23.0292,113.1056,12361.91804,71
Nanning,China,22.8192,108.315,11879.96409,72
Hengyang,China,26.8968,112.5857,12235.07959,73
Xi'an,China,34.2667,108.9,11734.32744,74
Shenyang,China,41.8039,123.4258,12703.64048,75
Tangshan,China,39.6292,118.1742,12378.97067,76
Shaoyang,China,27.2418,111.4725,12119.73045,77
Changsha,China,28.1987,112.9709,12244.7591,78
Santiago,Chile,-33.45,-70.6667,8224.686537,79
Zhengzhou,China,34.7492,113.6605,12148.66433,80
Zhanjiang,China,21.1967,110.4031,12116.92594,81
Riyadh,Saudi Arabia,24.65,46.71,5721.031734,82
Cangzhou,China,38.3037,116.8452,12315.65766,83
Dar es Salaam,Tanzania,-6.8,39.2833,4422.702362,84
Maoming,China,21.6618,110.9178,12162.64519,85
Huanggang,China,30.45,114.875,12371.95823,86
Xinyang,China,32.1264,114.0672,12254.38474,87
Shangrao,China,28.4419,117.9633,12715.41087,88
Luoyang,China,34.6587,112.4245,12041.21831,89
Bijie,China,27.3019,105.2863,11514.34691,90
Yantai,China,37.3997,121.2664,12715.46602,91
Quanzhou,China,24.9139,118.5858,12867.57485,92
Hangzhou,China,30.25,120.1675,12868.66828,93
Miami,United States,25.7839,-80.2102,9028.449722,94
Kunming,China,25.0433,102.7061,11285.905,95
Nanchong,China,30.7991,106.0784,11538.08188,96
Zunyi,China,27.705,106.9336,11669.46472,97
Lu'an,China,31.7542,116.5078,12487.84113,98
Yichun,China,27.8041,114.383,12389.39808,99
Taizhou,China,28.6583,121.4221,13035.00867,100
Liaocheng,China,36.45,115.9833,12302.25358,101
Qujing,China,25.5102,103.8029,11390.43828,102
Xiangyang,China,32.0654,112.1531,12080.04049,103
Surat,India,21.17,72.83,8230.935824,104
Baghdad,Iraq,33.35,44.4167,5934.573356,105
Qingdao,China,36.1167,120.4,12690.7745,106
Singapore,Singapore,1.3,103.8,11541.87879,107
Dallas,United States,32.7936,-96.7662,10639.79953,108
Changde,China,29.0397,111.6839,12103.44809,109
Dazhou,China,31.2152,107.4947,11664.35744,110
Suzhou,China,33.6333,116.9683,12474.55665,111
Philadelphia,United States,40.0077,-75.1339,8747.533144,112
Jieyang,China,23.5533,116.3649,12678.95164,113
Nairobi,Kenya,-1.2864,36.8172,4096.1185,114
Nangandao,China,35.2992,113.8851,12153.50298,115
Ankara,Turkey,39.93,32.85,5548.041269,116
Tai'an,China,36.2001,117.0809,12404.42842,117
Yulin,China,22.6293,110.1507,12069.3758,118
Dezhou,China,37.4513,116.3105,12298.62693,119
Houston,United States,29.7863,-95.3889,10527.63224,120
Atlanta,United States,33.7627,-84.4224,9492.397912,121
Rangoon,Burma,16.8,96.15,10662.329,122
Toronto,Canada,43.7417,-79.3733,9156.405978,123
Suihua,China,46.6384,126.9808,12720.40111,124
Washington,United States,38.9047,-77.0163,8888.078666,125
Qiqihar,China,47.3398,123.9512,12480.58602,126
Jinhua,China,29.1046,119.6494,12855.41668,127
Saint Petersburg,Russia,59.95,30.3167,7159.75985,128
Shantou,China,23.3735,116.6941,12715.78449,129
Sydney,Australia,-33.865,151.2094,15200.08438,130
Weinan,China,34.4996,109.4684,11780.51698,131
Suqian,China,33.9331,118.2831,12581.91456,132
Guadalajara,Mexico,20.6767,-103.3475,11394.76801,133
Suzhou,China,31.304,120.6164,12876.05398,134
Fuzhou,China,26.0769,119.2917,12906.5544,135
Zhaotong,China,27.3328,103.7144,11359.72746,136
Pudong,China,31.2231,121.5397,12962.49713,137
Yongzhou,China,26.4515,111.5953,12147.14156,138
Belo Horizonte,Brazil,-19.8917,-43.9478,5269.532331,139
Zhangzhou,China,24.5093,117.6612,12786.23683,140
Bozhou,China,33.8626,115.7742,12361.34465,141
Melbourne,Australia,-37.8136,144.9631,14489.47967,142
Nanchang,China,28.6842,115.8872,12512.02309,143
Xianyang,China,34.35,108.7167,11716.04681,144
Taizhou,China,32.4831,119.9,12772.80367,145
Surabaya,Indonesia,-7.2458,112.7378,12514.83341,146
Abidjan,Côte D’Ivoire,5.3364,-4.0267,742.9824246,147
Ji'an,China,27.1172,114.9793,12462.78974,148
Mianyang,China,31.4669,104.7385,11401.35032,149
Shaoxing,China,30,120.5833,12914.8788,150
Alexandria,Egypt,31.2,29.9167,4686.988927,151
Yuncheng,China,35.0304,110.998,11905.11184,152
Pingdingshan,China,33.735,113.2999,12143.24368,153
Huai'an,China,33.5,119.1331,12671.14191,154
Xinpu,China,34.5906,119.1801,12639.12141,155
Guilin,China,25.2667,110.2833,12039.34745,156
Huaihua,China,27.5494,109.9592,11966.67661,157
Jiujiang,China,29.7048,116.0021,12496.67003,158
Anqing,China,30.5,117.0333,12571.4336,159
Boston,United States,42.3188,-71.0846,8465.608492,160
Huanglongsi,China,34.7936,114.3403,12207.63294,161
Xiaoganzhan,China,30.9273,113.911,12270.18358,162
Changzhou,China,31.8122,119.9692,12800.88791,163
Barcelona,Spain,41.3825,2.1769,4606.839167,164
Chenzhou,China,25.7989,113.0267,12300.67197,165
Wuxi,China,31.5667,120.2833,12837.27614,166
Zibo,China,36.7831,118.0497,12467.91885,167
Jiaxing,China,30.7522,120.75,12906.17345,168
Dalian,China,38.9131,121.61,12684.11346,169
Harbin,China,45.75,126.6333,12743.80649,170
Yangzhou,China,32.3912,119.4363,12734.17179,171
Yibin,China,28.7596,104.64,11431.21058,172
Jiangmen,China,22.5833,113.0833,12367.74853,173
Johannesburg,South Africa,-26.2044,28.0416,4185.126398,174
Meizhou,China,24.2998,116.1191,12638.17956,175
Chifeng,China,42.2663,118.9223,12339.66851,176
Casablanca,Morocco,33.5992,-7.62,3819.995698,177
Guiyang,China,26.5794,106.7078,11664.43176,178
Langfang,China,39.5196,116.7006,12262.88617,179
Zhangjiakou,China,40.8108,114.8811,12072.5629,180
Izmir,Turkey,38.4127,27.1384,5091.70947,181
Linfen,China,36.0812,111.5087,11924.39617,182
Wenzhou,China,27.9991,120.6561,12983.04404,183
Monterrey,Mexico,25.6667,-100.3,11039.0259,184
Luzhou,China,28.8918,105.4409,11506.69771,185
Jiangguanchi,China,34.0244,113.8201,12182.30675,186
Neijiang,China,29.5872,105.0635,11460.19115,187
Phoenix,United States,33.5722,-112.0891,12038.15278,188
Yanjiang,China,30.1256,104.6397,11411.83702,189
Yiyang,China,28.5833,112.3333,12175.2564,190
Zhaoqing,China,23.047,112.465,12296.9134,191
Hengshui,China,37.7348,115.686,12236.89826,192
Guigang,China,23.0961,109.6092,12007.21141,193
Xiaoxita,China,30.7083,111.2803,12029.57253,194
Xiamen,China,24.4797,118.0819,12828.52443,195
Chuzhou,China,32.3062,118.3115,12635.50302,196
Fuzhou,China,27.9814,116.3577,12574.58888,197
